Nama Berbintang,Waktu,review,Nama tak Berbintang,ratings
,2023-01-26 21:24 | Variasi: Black,Membantu?,innayulio,5
t*****s,2023-01-16 16:52 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
,2023-01-15 09:11 | Variasi: Blue,Membantu?,dvagust,5
,2023-01-14 21:40 | Variasi: Grey,Membantu?,rizaratna,5
,2022-10-25 21:59 | Variasi: Dark Blue,Membantu?,nurainidini,5
,2022-10-13 06:49 | Variasi: Blue,Membantu?,wulandira28,5
,2022-09-25 09:30 | Variasi: Grey,Membantu?,de_lucag,5
h*****3,2022-11-13 10:35 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
,2022-11-07 17:24 | Variasi: Dark Blue,Membantu?,mnf37,5
,2022-09-26 06:51 | Variasi: White,Membantu?,jen_0622,5
,2022-09-28 07:52 | Variasi: White,Membantu?,yennyardiani,5
,2022-11-19 11:10 | Variasi: Grey,Membantu?,endah.widyastuti,5
,2022-10-01 06:59 | Variasi: Dark Blue,Membantu?,jennymustikasari,5
,2022-09-27 10:06 | Variasi: Wine Red,Membantu?,anandaseptyaningputri,5
,2022-11-02 11:45 | Variasi: Grey,Membantu?,silviachang31,5
,2022-11-23 17:42 | Variasi: Grey,Membantu?,anitasusiami,5
,2022-11-04 20:00 | Variasi: Dark Blue,Membantu?,susan.melanti,5
,2022-12-17 10:34 | Variasi: Grey,Membantu?,achillesyw,5
,2022-11-23 15:00 | Variasi: Blue,Membantu?,rikihalo,5
,2022-10-21 15:48 | Variasi: Blue,Membantu?,uzhmataqiy,5
,2022-11-03 11:24 | Variasi: Dark Blue,Membantu?,nur_mallasari,5
,2022-10-13 18:11 | Variasi: Blue,Membantu?,kombiz,5
,2022-11-12 19:00 | Variasi: Wine Red,Membantu?,ikasaputri10,5
,2023-03-01 16:54 | Variasi: White,Membantu?,andridow7001,5
,2023-03-02 17:47 | Variasi: Dark Blue,Membantu?,ermarofaidahd,5
,2023-04-08 15:24 | Variasi: Pink,Membantu?,hojohn,5
a*****w,2022-10-09 18:12 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
,2023-02-16 20:16 | Variasi: Pink,Membantu?,oktie1910,5
,2023-02-27 20:23 | Variasi: Black,Membantu?,endah.ps18,5
a*****t,2022-10-26 17:04 | Variasi: Blue,Membantu?Laporkan Penyalahgunaan,,5
,2023-03-17 04:34 | Variasi: Dark Blue,Membantu?,agustindecka,5
,2023-03-07 10:49 | Variasi: Black,Membantu?,julaikha1093,5
p*****i,2023-02-27 05:10 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
r*****2,2023-02-07 00:12 | Variasi: Dark Blue,Membantu?Laporkan Penyalahgunaan,,5
r*****o,2023-02-18 20:26 | Variasi: Pink,Membantu?Laporkan Penyalahgunaan,,5
,2023-02-14 23:49 | Variasi: Red,Membantu?,erfano,5
,2022-10-05 14:04 | Variasi: Dark Blue,Membantu?,henysusylo,5
,2023-02-08 12:43 | Variasi: Dark Blue,Membantu?,ayuayueva,5
,2023-02-27 14:22 | Variasi: Blue,Membantu?,lmufidah,5
,2022-12-06 13:05 | Variasi: Dark Blue,Membantu?,yogita.id3870_86263,5
,2022-12-01 07:15 | Variasi: Blue,Membantu?,lilyhari0808,5
,2022-09-22 11:57 | Variasi: Grey,Membantu?,dwiapriyanto220489,5
,2022-11-24 06:28 | Variasi: Green,Membantu?,listramikina,5
,2023-03-29 15:18 | Variasi: Red,Membantu?,sonyanovelisas,5
,2022-11-25 20:02 | Variasi: Grey,Membantu?,priettayudistri,5
,2023-03-02 17:05 | Variasi: Wine Red,Membantu?,ariyanti16ria,5
,2023-02-20 22:43 | Variasi: Dark Blue,Membantu?,usbmorzaks,5
,2022-10-11 20:39 | Variasi: Yellow,Membantu?,resadwi,5
,2023-03-02 20:13 | Variasi: Dark Blue,Membantu?,raudahrup,4
,2022-12-19 00:09 | Variasi: Green,Membantu?,natalia.bernita,4
,2023-03-03 08:26 | Variasi: Dark Blue,Membantu?,ekatheresia_,5
,2023-02-25 16:29 | Variasi: White,Membantu?,areztarezt,5
,2022-11-09 16:25 | Variasi: Wine Red,Membantu?,sabdanugraha,5
,2022-11-16 07:32 | Variasi: Green,Membantu?,rohimatul_anwar,5
,2023-02-07 22:48 | Variasi: Dark Blue,Membantu?,pusari22,5
,2022-11-26 06:41 | Variasi: Grey,Membantu?,gorrila.shop,5
,2023-06-20 17:15 | Variasi: Yellow,respon penjual:,radenabiyyu24,5
,2023-03-09 20:13 | Variasi: Blue,Membantu?,michaeljonathang,5
,2023-04-01 07:51 | Variasi: Blue,Membantu?,whitecouklet,5
a*****e,2022-11-25 23:48 | Variasi: Blue,Membantu?Laporkan Penyalahgunaan,,4
,2023-02-13 10:57 | Variasi: Pink,Membantu?,raysaf,5
,2022-11-22 06:30 | Variasi: Grey,Membantu?,endahz28,5
d*****3,2023-05-18 19:50 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
,2022-12-06 09:07 | Variasi: Blue,Membantu?,dhikapangestika,4
,2023-03-15 08:53 | Variasi: Green,Membantu?,korry1510,5
,2023-02-18 19:58 | Variasi: Black,Membantu?,hendriknikolas,5
,2022-10-06 14:00 | Variasi: Dark Blue,Membantu?,fahadaadarizki,5
,2023-02-09 13:37 | Variasi: Wine Red,Membantu?,maulanayogi7,4
a*****5,2023-03-03 20:44 | Variasi: Dark Blue,Membantu?Laporkan Penyalahgunaan,,5
a*****i,2022-10-24 20:59 | Variasi: Blue,Membantu?Laporkan Penyalahgunaan,,5
w*****a,2022-11-21 10:39 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
,2023-03-03 10:30 | Variasi: White,Membantu?,mediaisti,5
r*****r,2023-07-11 13:39 | Variasi: Red,Membantu?Laporkan Penyalahgunaan,,5
,2023-04-07 22:51 | Variasi: Red,Membantu?,deniresqiana90,5
,2023-04-08 12:12 | Variasi: White,Membantu?,kinakiki,2
,2022-12-13 23:35 | Variasi: Green,Membantu?,sayriffwahyu,4
,2023-05-08 12:24 | Variasi: Black,Membantu?,hamdah16__,4
,2023-03-06 20:49 | Variasi: Black,Membantu?,cuanalvin,4
,2023-02-28 11:15 | Variasi: Black,Membantu?,tiesaalfiani,5
,2023-05-12 07:45 | Variasi: Black,Membantu?,lovryan212,5
g*****p,2023-05-17 06:31 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
,2023-03-20 21:17 | Variasi: White,Membantu?,nindyadewinta22,5
,2023-07-13 18:41 | Variasi: Pink,Membantu?,nrwndtmi,5
,2023-03-07 18:08 | Variasi: White,Membantu?,rizmafitraratri,5
,2022-11-30 22:17 | Variasi: Green,Membantu?,dewislinys,5
,2023-07-13 16:56 | Variasi: Red,Membantu?,senjatimur442,4
,2022-12-02 06:49 | Variasi: Blue,Membantu?,pamelaadna,5
,2023-07-10 17:32 | Variasi: White,Membantu?,afiqoh_dianifani,5
,2023-05-11 17:32 | Variasi: Wine Red,Membantu?,anariajamilah,5
,2022-12-03 14:05 | Variasi: Blue,Membantu?,dytadewa,5
,2023-02-08 19:33 | Variasi: White,Membantu?,herucuteboy,5
,2023-04-17 20:53 | Variasi: Red,Membantu?,anekaperawatan,5
s*****r,2023-06-29 19:45 | Variasi: Yellow,respon penjual:Hi Kak. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it! Jangan lupa untuk follow Amazfit Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak :),,5
h*****2,2023-07-05 20:15 | Variasi: Dark Blue,respon penjual:Hi Kak. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it! Jangan lupa untuk follow Amazfit Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak :),,5
i*****o,2023-04-01 10:33 | Variasi: Dark Blue,Membantu?Laporkan Penyalahgunaan,,5
i*****o,2022-12-09 19:57 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,3
,2022-12-06 18:29 | Variasi: Blue,Membantu?,tjuhanda,5
,2022-11-21 16:32 | Variasi: Grey,Membantu?,shidqi2404,5
h*****_,2023-05-26 07:43 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
k*****o,2023-03-12 18:22 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
,2023-05-08 22:48 | Variasi: Black,Membantu?,tond12,5
,2023-03-26 16:48 | Variasi: Dark Blue,Membantu?,galih_bjm,5
,2023-03-13 18:49 | Variasi: Red,Membantu?,al_dina87,5
,2023-03-12 11:33 | Variasi: Blue,Membantu?,al_dina87,5
,2023-03-07 18:17 | Variasi: Black,Membantu?,bee.flowers,5
,2023-02-21 08:53 | Variasi: Yellow,Membantu?,vicky2511,5
,2023-03-27 21:24 | Variasi: Black,Membantu?,meapin.co,5
,2022-11-06 16:29 | Variasi: Dark Blue,Membantu?,bagushroom,4
,2023-03-14 05:46 | Variasi: Black,Membantu?,tegarimamp,5
,2023-06-11 21:41 | Variasi: Black,respon penjual:,enypurwati01,5
,2023-04-05 05:32 | Variasi: Pink,Membantu?,yurina1w,5
,2023-07-02 17:02 | Variasi: Dark Blue,respon penjual:,c_bread,5
,2023-03-06 23:07 | Variasi: Black,Membantu?,alvinproboyo,5
,2022-10-25 13:33 | Variasi: Blue,Membantu?,framana01,5
,2023-05-22 20:20 | Variasi: Black,Membantu?,rizqi_khafidudin,5
,2023-02-02 12:18 | Variasi: Pink,Membantu?,aidansports,5
p*****4,2022-12-16 15:12 | Variasi: Blue,Membantu?Laporkan Penyalahgunaan,,5
,2023-02-10 20:29 | Variasi: Black,Membantu?,didiksupriono,5
s*****i,2023-02-27 18:47 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
,2023-03-12 19:41 | Variasi: Black,Membantu?,puspitadewi_12,5
s*****r,2022-12-25 20:54 | Variasi: Green,Membantu?Laporkan Penyalahgunaan,,3
b*****i,2023-02-14 09:18 | Variasi: White,Membantu?Laporkan Penyalahgunaan,,5
,2023-02-21 15:46 | Variasi: Dark Blue,Membantu?,susansan84997,3
,2023-03-28 12:52 | Variasi: Dark Blue,Membantu?,alfianromadhan,5
n*****e,2023-04-12 17:01 | Variasi: White,Membantu?Laporkan Penyalahgunaan,,5
,2023-06-27 16:42 | Variasi: Pink,respon penjual:,trisanissusilosakti,5
,2022-11-04 10:29 | Variasi: Grey,Membantu?,mohamaderzio,5
r*****i,2023-02-16 19:03 | Variasi: Pink,Membantu?Laporkan Penyalahgunaan,,5
,2022-11-21 22:49 | Variasi: Grey,Membantu?,catallizer,5
Pengguna Shopee,2022-12-01 21:32 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
,2023-02-05 14:50 | Variasi: Pink,Membantu?,ndrikkhorezon,3
,2023-06-24 15:27 | Variasi: White,respon penjual:,cuteladiesfashion,5
c*****w,2022-12-28 18:12 | Variasi: Blue,Membantu?Laporkan Penyalahgunaan,,5
a*****e,2023-05-18 04:08 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
,2023-03-13 14:36 | Variasi: White,Membantu?,rick_mau,5
,2023-05-28 04:30 | Variasi: Black,Membantu?,dayatmiftah,4
,2023-03-06 13:15 | Variasi: Dark Blue,Membantu?,rusdiimuhmd,5
,2023-06-18 22:53 | Variasi: Red,respon penjual:,dharmawanadi,5
,2023-02-08 22:40 | Variasi: Wine Red,Membantu?,heriansyahderi,5
,2023-03-30 13:00 | Variasi: Red,Membantu?,yudi_0501,5
,2023-04-06 11:04 | Variasi: Dark Blue,Membantu?,jpatiel,5
,2023-03-25 12:25 | Variasi: Blue,Membantu?,yudi_0501,5
a*****s,2022-10-16 09:37 | Variasi: Wine Red,Membantu?Laporkan Penyalahgunaan,,4
,2023-02-19 17:19 | Variasi: Dark Blue,Membantu?,mukhso,5
,2023-04-02 17:26 | Variasi: Dark Blue,Membantu?,fauzibakri,5
e*****i,2023-05-23 17:49 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,4
,2023-04-19 12:58 | Variasi: Dark Blue,Membantu?,galihasmorojati20,5
,2023-03-28 11:31 | Variasi: Dark Blue,Membantu?,dicky.ysnd,5
,2022-12-01 23:58 | Variasi: Green,Membantu?,kikiamels,5
s*****y,2023-05-21 19:29 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
,2022-09-15 21:21 | Variasi: Grey,Membantu?,rainpuspafeda,5
,2022-11-17 12:10 | Variasi: Dark Blue,Membantu?,masbambangandri,5
p*****4,2023-05-08 14:25 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
,2023-04-18 06:56 | Variasi: Green,Membantu?,mentarymerry08,5
,2022-10-27 05:14 | Variasi: Grey,Membantu?,letihamidah,5
,2022-11-23 07:16 | Variasi: Dark Blue,Membantu?,zakkar,5
,2022-11-02 12:35 | Variasi: Dark Blue,Membantu?,dannykomaruddin,5
,2023-03-02 09:05 | Variasi: Black,Membantu?,arysaputro77,5
,2022-12-13 09:39 | Variasi: Green,Membantu?,retnoyudhiarti,5
,2023-05-10 05:44 | Variasi: Grey,Membantu?,adensetiadi.,5
,2023-02-18 11:00 | Variasi: Black,Membantu?,linaherliina,5
,2023-05-29 22:28 | Variasi: Black,Membantu?,0kl_hspgjx,5
,2022-11-13 15:35 | Variasi: Grey,Membantu?,inieaang,4
,2023-05-11 13:44 | Variasi: Wine Red,Membantu?,vera.lestari99,5
,2023-03-20 16:06 | Variasi: Black,Membantu?,numi_thriftshop,5
,2023-03-21 21:55 | Variasi: Dark Blue,Membantu?,nurzaini_maksum,4
,2023-01-28 10:15 | Variasi: Black,Membantu?,yessyshelia05,5
,2023-04-08 19:22 | Variasi: Dark Blue,Membantu?,amuinsyarif,5
b*****i,2023-05-11 20:20 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
y*****o,2022-11-14 21:39 | Variasi: Dark Blue,Membantu?Laporkan Penyalahgunaan,,4
,2023-03-30 04:59 | Variasi: Dark Blue,Membantu?,denis.aa,5
s*****1,2023-05-15 17:22 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
,2022-11-30 19:02 | Variasi: Green,Membantu?,melodyhwarang,5
,2023-05-13 01:05 | Variasi: Grey,Membantu?,dimaz_1973,5
,2023-05-12 08:03 | Variasi: Wine Red,Membantu?,diansudio,5
i*****2,2023-03-08 14:37 | Variasi: Wine Red,Membantu?Laporkan Penyalahgunaan,,4
y*****2,2023-05-11 11:31 | Variasi: Wine Red,Membantu?Laporkan Penyalahgunaan,,5
,2023-01-30 20:21 | Variasi: Pink,Membantu?,faisal.adi.saputra,5
,2023-04-11 20:16 | Variasi: White,Membantu?,hendrikoey7888,5
,2023-04-09 18:34 | Variasi: Red,Membantu?,muawanah_reza,5
s*****o,2022-09-21 09:50 | Variasi: Dark Blue,Membantu?Laporkan Penyalahgunaan,,5
,2023-01-18 10:40 | Variasi: Grey,Membantu?,ria.gloria,5
,2023-04-24 10:46 | Variasi: White,Membantu?,80nrr7em69,5
,2023-02-15 01:59 | Variasi: Wine Red,Membantu?,marel766,5
,2022-10-22 12:38 | Variasi: Blue,Membantu?,mugi_handayani22,5
,2023-04-07 16:56 | Variasi: Red,Membantu?,anggit4st,5
r*****o,2023-04-18 00:58 | Variasi: Red,Membantu?Laporkan Penyalahgunaan,,5
,2023-04-09 01:10 | Variasi: Dark Blue,Membantu?,yenipurnama_,5
,2023-04-03 16:02 | Variasi: Red,Membantu?,arian_arby,5
,2023-04-03 18:09 | Variasi: Blue,Membantu?,Pengguna Shopee,5
,2023-03-29 22:38 | Variasi: Blue,Membantu?,akbarbagussaputra,5
,2023-03-27 21:13 | Variasi: Dark Blue,Membantu?,e.kartika67,5
,2023-02-13 17:39 | Variasi: Wine Red,Membantu?,ferdynandus1985,5
,2023-02-02 23:56 | Variasi: Wine Red,Membantu?,malik_antara,5
,2023-03-17 11:23 | Variasi: Blue,Membantu?,erma432,5
,2023-03-14 01:17 | Variasi: Black,Membantu?,yonpatt,5
c*****a,2023-03-12 13:19 | Variasi: Black,Membantu?Laporkan Penyalahgunaan,,5
,2023-03-11 10:19 | Variasi: White,Membantu?,gchiinrwsn,5
,2023-03-08 17:00 | Variasi: Black,Membantu?,basicmen,5
,2023-03-05 11:35 | Variasi: Red,Membantu?,randy2823,5
,2023-02-27 03:33 | Variasi: Black,Membantu?,rsulandari,5
,2023-02-23 15:39 | Variasi: Dark Blue,Membantu?,randy2823,5
,2023-02-19 12:33 | Variasi: Yellow,Membantu?,mhd_ikhsan.93,5
,2023-02-17 15:17 | Variasi: Black,Membantu?,8gm0mlzrp8,5
,2023-02-16 05:54 | Variasi: White,Membantu?,lalalatiifah19,5
,2023-02-16 19:17 | Variasi: White,Membantu?,ayodie,5
,2023-02-14 22:51 | Variasi: Wine Red,Membantu?,kangtana,5
,2023-02-14 12:53 | Variasi: Pink,Membantu?,lalalatiifah19,5
,2023-02-10 09:45 | Variasi: Yellow,Membantu?,yanz2408,5
,2023-02-07 12:34 | Variasi: White,Membantu?,kadekjian,5
,2023-02-07 08:26 | Variasi: White,Membantu?,emmyliana22,5
,2023-02-07 01:08 | Variasi: Pink,Membantu?,kadekjian,5
,2023-02-07 17:58 | Variasi: Wine Red,Membantu?,putrinurhasan,5
,2023-01-30 20:02 | Variasi: Dark Blue,Membantu?,indytk99,5
a*****0,2023-01-23 17:30 | Variasi: White,Membantu?Laporkan Penyalahgunaan,,5
,2023-01-07 05:51 | Variasi: Green,Membantu?,marendrapm,5
,2022-11-24 08:37 | Variasi: Grey,Membantu?,ekkyfebriadi,5
,2022-10-07 17:25 | Variasi: White,Membantu?,xhanmi,5
f*****g,2022-11-12 11:47 | Variasi: Green,Membantu?Laporkan Penyalahgunaan,,5
,2022-10-26 08:36 | Variasi: Blue,Membantu?,tokomajumapan19,5
,2022-12-21 21:41 | Variasi: Blue,Membantu?,karanaian,5
l*****6,2022-09-25 18:32 | Variasi: Dark Blue,Membantu?Laporkan Penyalahgunaan,,5
t*****k,2022-11-30 20:44 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
,2022-10-15 21:48 | Variasi: Dark Blue,Membantu?,zackypurnamas,5
,2022-12-01 15:16 | Variasi: Grey,Membantu?,andiharis903,5
g*****e,2022-11-23 00:46 | Variasi: Grey,Membantu?Laporkan Penyalahgunaan,,5
a*****m,2022-10-16 11:03 | Variasi: Wine Red,Membantu?Laporkan Penyalahgunaan,,5
,2023-02-09 16:02 | Variasi: Wine Red,Membantu?,chachand,4
,2023-02-25 15:12 | Variasi: Green,Membantu?,farida_613,1
